nurses,doctors,staff,care,meds,clean,info,rating
97.129997,100,96.260002,89.150002,94.260002,96.730003,90.339996,97.18
93.580002,91.82,87.18,73.5,80.25,84.599998,93.120003,93.919998
91.489998,89.879997,82.449997,70.860001,73.400002,80.860001,91.660004,89.989998
88.120003,89.760002,75.879997,62.16,76.580002,80.650002,89.230003,82.459999
84.25,90.989998,67.389999,55.419998,61.200001,71.739998,86.849998,67.93
90.839996,88.610001,83.5,66.75,75.690002,83.260002,95.650002,88.910004
89.419998,90.059998,89.529999,67.769997,74.790001,81.559998,91.620003,95
83.440002,86.580002,72.389999,63.740002,73.889999,79.779999,90.410004,87.190002
91.099998,95.25,80.480003,66.18,73.949997,82.730003,96.550003,83.769997
83.160004,83.029999,72.900002,49.5,71.940002,77.629997,86.32,74.279999
85.970001,89.339996,79.879997,56.139999,78.900002,78.620003,92.129997,77.510002
78.110001,83.269997,72.07,20.33,26.73,67.199997,90.290001,77.160004
87.129997,85.199997,76.910004,62.27,72.209999,83.269997,89.800003,83.790001
85.050003,86.300003,75.470001,56.560001,71.160004,77.699997,87.370003,76.230003
84.980003,82.660004,78.440002,58.040001,65.349998,75.790001,87.769997,87.889999
84.43,85.199997,78.480003,55.41,62.77,82.760002,89.870003,83.360001
92.080002,96.910004,73.919998,51.689999,73.809998,84.029999,90.739998,76.860001
84.650002,84.029999,69.860001,44.91,70.209999,79.82,87.25,77.650002
88.68,90.080002,70.510002,49.380001,74.739998,76.43,67.889999,74.279999
86.43,83.620003,83.519997,62.619999,74.629997,73.889999,90.129997,87.669998
87.559998,89.190002,79.910004,70.080002,74.199997,80.68,92.510002,88.029999
83.919998,81.669998,69.629997,44.290001,71.07,74.940002,87.370003,76.07
85.5,86.540001,73.559998,63.110001,71.419998,72.43,86.889999,81.139999
86.279999,84.949997,83.699997,66.589996,73.349998,79.739998,90.839996,89.660004
87.57,88.290001,81.980003,66.290001,78.879997,77.690002,91.919998,76.089996
88.93,88.790001,82.860001,63.799999,75.370003,77.669998,86.940002,90.389999
87.989998,86.760002,77.830002,63.119999,73.449997,76.830002,89.5,87.050003
86.449997,88.919998,84.330002,67.099998,75.760002,83.059998,93.830002,86.989998
84.989998,84.330002,72.870003,57.259998,66.160004,71.519997,88.239998,78.199997
85.620003,87.029999,69.540001,57.990002,71.18,74.739998,86.059998,79.400002
84.309998,85.080002,81.309998,55.200001,70.239998,75.269997,87.5,79.269997
82.43,89.720001,77.639999,56.650002,58.849998,77.57,89.519997,66.230003
82.699997,84.620003,65.82,45.049999,61.049999,67.059998,87.650002,64.839996
85.620003,88.800003,74,59.720001,73,83,94.309998,83.489998
81.330002,87.040001,69.25,44.77,55.57,62.630001,80.709999,65.760002
84.139999,91.18,79.760002,48.93,70.809998,75.720001,90.550003,74.910004
84.269997,82.199997,70.419998,57.939999,70.900002,64.400002,89.580002,81.040001
