Age,Year,Death_Rate
0,2010,623.40002
0,2011,600.09998
0,2012,599.29999
0,2013,594.70001
0,2014,588
0,2015,589.59998
0,2016,583.40002
1,2010,43.599998
1,2011,42.099998
1,2012,40.900002
1,2013,41.900002
1,2014,36.700001
1,2015,40.099998
1,2016,39.200001
2,2010,26.9
2,2011,26.799999
2,2012,27.1
2,2013,25.4
2,2014,25
2,2015,25.4
2,2016,26.200001
3,2010,20.5
3,2011,20.4
3,2012,20.6
3,2013,18.799999
3,2014,18.5
3,2015,19.6
3,2016,19.9
4,2010,15.6
4,2011,16.299999
4,2012,16.799999
4,2013,16.200001
4,2014,16
4,2015,14.7
4,2016,16
5,2010,12.3
5,2011,14
5,2012,13.2
5,2013,13.7
5,2014,13.3
5,2015,13.5
5,2016,13.5
6,2010,11.5
6,2011,12.3
6,2012,10.9
6,2013,12.1
6,2014,11.4
6,2015,12.8
6,2016,12.1
7,2010,11.4
7,2011,11.2
7,2012,11.3
7,2013,10.8
7,2014,11.1
7,2015,10.8
7,2016,12.7
8,2010,11.5
8,2011,11.9
8,2012,10.4
8,2013,11.1
8,2014,10.7
8,2015,11.1
8,2016,11.6
9,2010,10.5
9,2011,10.8
9,2012,11.1
9,2013,11.3
9,2014,10.9
9,2015,10.4
9,2016,11.1
10,2010,10.3
10,2011,11.1
10,2012,10.9
10,2013,10.5
10,2014,10.2
10,2015,10.7
10,2016,11.2
11,2010,12.6
11,2011,11.4
11,2012,11.4
11,2013,11.3
11,2014,11.5
11,2015,11.2
11,2016,12.2
12,2010,13.4
12,2011,12.9
12,2012,12.1
12,2013,13.4
12,2014,13.1
12,2015,12.6
12,2016,12.9
13,2010,15.1
13,2011,15.4
13,2012,15
13,2013,16
13,2014,16.299999
13,2015,16.799999
13,2016,15.7
14,2010,19.9
14,2011,20.6
14,2012,19.9
14,2013,19.299999
14,2014,18.700001
14,2015,21.5
14,2016,21.1
15,2010,25.1
15,2011,24.4
15,2012,26.299999
15,2013,25.200001
15,2014,24.5
15,2015,25.700001
15,2016,27.9
16,2010,37.400002
16,2011,36.200001
16,2012,35
16,2013,32.5
16,2014,34.400002
16,2015,35.200001
16,2016,37
17,2010,46.599998
17,2011,46.400002
17,2012,43.099998
17,2013,43.900002
17,2014,43.099998
17,2015,47.200001
17,2016,48.900002
18,2010,64.400002
18,2011,62.400002
18,2012,61.400002
18,2013,55.599998
18,2014,57.900002
18,2015,61.299999
18,2016,66.699997
19,2010,71.099998
19,2011,72.900002
19,2012,68.199997
19,2013,65.300003
19,2014,66.699997
19,2015,71.800003
19,2016,75.199997
20,2010,76.5
20,2011,74.099998
20,2012,75
20,2013,73.599998
20,2014,72.199997
20,2015,77.099998
20,2016,81.699997
21,2010,87.199997
21,2011,84.099998
21,2012,82
21,2013,80.599998
21,2014,82.300003
21,2015,86.300003
21,2016,95.300003
22,2010,86.800003
22,2011,90.199997
22,2012,88.599998
22,2013,84
22,2014,87.300003
22,2015,91.699997
22,2016,97.800003
23,2010,88.400002
23,2011,92.199997
23,2012,86.400002
23,2013,87.900002
23,2014,86.599998
23,2015,93.300003
23,2016,103.7
24,2010,94.099998
24,2011,90.800003
24,2012,91.400002
24,2013,90.599998
24,2014,90
24,2015,97.199997
24,2016,106.4
25,2010,91.900002
25,2011,94
25,2012,92.599998
25,2013,90.599998
25,2014,94.300003
25,2015,100.6
25,2016,111.4
26,2010,95.300003
26,2011,95.099998
26,2012,96
26,2013,96.599998
26,2014,98.5
26,2015,100.3
26,2016,111.1
27,2010,92.699997
27,2011,95.400002
27,2012,94.800003
27,2013,99.300003
27,2014,97.699997
27,2015,106.7
27,2016,119.8
28,2010,99.400002
28,2011,96.699997
28,2012,101.8
28,2013,98.5
28,2014,102.9
28,2015,108.8
28,2016,125.7
29,2010,101
29,2011,102.2
29,2012,105.4
29,2013,103.1
29,2014,105.3
29,2015,116.3
29,2016,123.9
30,2010,103.3
30,2011,105.4
30,2012,107.1
30,2013,107.3
30,2014,106.3
30,2015,115.6
30,2016,129.39999
31,2010,109.3
31,2011,107.7
31,2012,110.7
31,2013,109.9
31,2014,114.4
31,2015,121.9
31,2016,133.8
32,2010,110.1
32,2011,115.1
32,2012,107.7
32,2013,113.3
32,2014,116.2
32,2015,128.60001
32,2016,143
33,2010,113.7
33,2011,116.4
33,2012,118.8
33,2013,116.6
33,2014,122.1
33,2015,132.60001
33,2016,143.60001
34,2010,115.3
34,2011,121.3
34,2012,121
34,2013,127.4
34,2014,127.3
34,2015,138.60001
